street_name,street_number,city,country_id
Springview Hill,87,Suç,3
Morning Crossing,90039,Chalandrítsa,82
Menomonie Plaza,16098,Västra Frölunda,194
Kenwood Alley,1235,Vangaindrano,124
Pond Trail,21,Cagnes-sur-Mer,70
Utah Center,831,Tamanar,126
Dexter Trail,9,Halmstad,194
Orin Junction,74624,Tongliao,42
Warbler Drive,53436,Yanglin,42
Sauthoff Court,82741,Dushanbe,201
Veith Street,7474,Nungwi,197
Del Sol Drive,4917,Ploso Wetan,92
Ridgeview Drive,17727,Hekou,42
Daystar Terrace,15,Cibeureum,92
Rutledge Road,868,Rodotópi,82
Jana Lane,44,Noginsk,172
Everett Parkway,95700,Muli,42
4th Terrace,38993,Frederico Westphalen,30
East Street,0,Íos,82
Paget Crossing,7229,Jiguan,42
Waubesa Parkway,0,Zhlobin,26
Pine View Alley,6931,Tulsa,217
Manufacturers Park,45614,Zeya,172
Talmadge Way,7,Xinshancun,42
Upham Circle,351,Ravānsar,95
1st Center,4486,Xiangyun,42
Lunder Pass,13123,Miches,59
Carioca Pass,9,Izborsk,172
Esch Park,44850,Dalgān,95
Blue Bill Park Hill,7179,Bebedouro,30
Hollow Ridge Place,4433,Longshan,42
Ohio Place,5140,Luojiang,42
Fremont Park,296,Miranda,47
Hermina Point,8414,Atamanovka,172
Gina Street,83763,Văn Giang,221
Shoshone Center,5,Dukuh,92
Delaware Junction,433,Selasari,92
Fordem Lane,79925,Sung Noen,200
Thackeray Alley,933,Chasŏng,165
Waywood Circle,25788,Las Terrenas,59
Thompson Avenue,606,Windsor,37
Briar Crest Parkway,558,Altıağac,15
Kinsman Junction,1984,San Isidro,9
Dryden Crossing,99923,Bokor,92
Nancy Lane,37521,Pérama,82
Oriole Terrace,4231,Shikhany,172
Sycamore Parkway,151,Västerås,194
Elka Lane,6756,Danchang,42
Lakewood Gardens Road,278,Banana Village,109
Merry Circle,5295,Jinshi,42
Sherman Trail,32,Kombapari,92
Sullivan Parkway,28631,Rumilly,70
Kingsford Alley,890,Villa Bustos,9
Melody Road,87717,Campos,30
Vermont Park,30,Pakemitan,92
Meadow Vale Way,58,Bayan Gol,42
Pearson Parkway,85,Hafrsfjord,151
Trailsway Plaza,554,Horgo,132
Russell Street,92,Pau,70
Moulton Alley,808,Askim,194
Daystar Place,27,Västerås,194
Butternut Plaza,76842,Xiaowuzhan,42
Nevada Center,62,Rogachëvo,172
Russell Point,5,Mollepampa,158
Cordelia Alley,20287,Whitchurch,75
Vermont Road,582,Blimbing,92
Lakewood Circle,565,Kawaguchi,105
Coleman Street,4661,Shuyuan,42
Larry Plaza,29761,Bayanbulag,132
Arapahoe Road,98,Mairinque,30
Loftsgordon Circle,5,Sabon Gari-Nangere,149
Luster Terrace,1238,Boavista,164
Fair Oaks Park,599,San Francisco,131
Eggendart Court,67541,Morazán,84
Nobel Parkway,4,Itapeva,30
Lindbergh Trail,8888,Baton Rouge,217
Holy Cross Street,21663,El Refugio,131
Hansons Way,74502,Karangbaru,92
Jackson Hill,65,Borne Sulinowo,163
Bashford Alley,81,Inanwatan,92
Corscot Circle,287,Fenjie,42
Northwestern Place,6,Huangli,42
Cottonwood Junction,8054,Lanhas,164
Summer Ridge Street,20,Merdeka,92
Merrick Street,3872,Kronoby,69
Vidon Road,3011,Xiangshun,42
Kenwood Center,103,Nanyue,42
Fisk Way,480,Loznitsa,33
Bluejay Trail,378,Nuits-Saint-Georges,70
Sauthoff Trail,3923,Makin Village,109
Reindahl Circle,3321,Panggunguni,92
Iowa Point,56369,Tangkolo,92
Warner Hill,5833,Zhenzhushan,42
John Wall Parkway,718,Boje,149
Ramsey Court,6,El Jem,207
Maryland Lane,2064,Bosen,92
Manufacturers Drive,7994,Caimitillo,156
Jana Junction,8623,Fram,157
Bowman Terrace,9,Limoges,70
Roth Way,248,Songjiang,42
Duke Street,614,Stavanger,151
Browning Circle,2,Itapagé,30
Ridgeview Trail,747,Chengguan,42
Montana Crossing,0,Uticyacu,158
Lakeland Road,5,Palu,92
Burning Wood Way,735,Čoka,186
Sauthoff Way,84,Cibogo,92
Moulton Avenue,7462,Acacías,47
Petterle Drive,5946,Rameshki,172
Montana Parkway,5855,Chengguan,42
Porter Drive,548,Fangtian,42
Carey Way,329,Indaiatuba,30
Roxbury Trail,18322,Wakimachi,105
Becker Center,88,Meixian,42
Lake View Way,13,Eskilstuna,194
Waubesa Terrace,13,Filimonovo,172
Jay Park,1502,Quintãs,164
Shelley Crossing,108,Kokoshkino,172
Kedzie Trail,49,Huddinge,194
Eastlawn Trail,4841,Tlogotunggal,92
Spenser Place,46328,Lucan,96
Elgar Center,75456,Daszewice,163
Banding Place,61,Údlice,55
Maple Crossing,49,Serednye Vodyane,213
Burning Wood Lane,5,Hengpi,42
Farwell Parkway,98524,Ejmiatsin,10
Veith Road,79,Taoyuan,42
Summerview Circle,470,Novoselë,3
Loftsgordon Terrace,52,Aghavnadzor,10
Onsgard Point,209,Sukaraja,92
Russell Circle,665,Hitiaa,232
Judy Hill,51,Meiqi,42
Logan Drive,6,Troparëvo,172
Susan Trail,910,Lubniewice,163
Roth Hill,5,Kaminokawa,105
Union Hill,775,Tabonok,159
Northport Junction,60,Grand Forks,217
Wayridge Avenue,33914,Chongxing,42
Novick Point,3247,San Felipe Old,159
Maryland Road,92012,Tramandaí,30
Cherokee Road,49,Le Mans,70
Chive Plaza,72130,Petropavlovskaya,172
Redwing Lane,31110,Novokubansk,172
Harper Point,686,Pogorzyce,163
Ridge Oak Avenue,58418,Yinji,42
Delladonna Court,0,Novogurovskiy,172
Grayhawk Park,7,Ozorków,163
Carioca Street,4,Foros do Trapo,164
Schlimgen Center,12,Swellendam,171
American Ash Alley,16861,Taoyuan,42
Mayer Street,7,Mekarsari,92
Columbus Alley,243,Saurama,158
Sutherland Hill,3364,Tartu,65
Russell Crossing,9,Trongsa,23
Sloan Way,61,Rudka,163
Crownhardt Road,6,Bayantal,132
Blue Bill Park Trail,52781,Karibib,143
Dunning Pass,0,Balud,159
Aberg Trail,914,Kirovsk,172
Starling Center,9800,Savyon,99
Mesta Drive,32,Sidu,42
Florence Lane,4617,Balabagan,159
Scott Plaza,15720,Fort Erie,37
Tennessee Alley,6,Yongqin,42
North Crossing,77,Cruces,53
Lakeland Crossing,160,Langchuan,42
Homewood Pass,1,Thị Trấn Yên Phú,221
American Alley,9,Zbýšov,55
Tomscot Avenue,2849,Banquero,159
American Ash Way,1275,Bojawa,92
Gulseth Parkway,97,Quintã,164
Ramsey Parkway,946,São Julião do Tojal,164
Lighthouse Bay Parkway,91,Yunxi,42
Coleman Point,642,Villeneuve-la-Garenne,70
Forster Avenue,84,Kaskinen,69
Eagle Crest Terrace,2,Coxim,30
Lotheville Way,13,Janaúba,30
Monument Avenue,9855,Mŭynoq,218
Brown Junction,9,Ptghunk’,10
Scott Court,423,Dallas,217
Florence Place,6,Diamantina,30
Packers Terrace,7,Basoko,45
Lillian Lane,8,Tallahassee,217
Fremont Hill,80157,Bulls,153
Dorton Place,3,Prnjavor,186
Crownhardt Drive,23,Nuquí,47
Lien Trail,0,Qinggis Han,42
Novick Circle,408,Nieborów,163
Buell Terrace,50322,Mabai,42
Crownhardt Crossing,1,Chinú,47
Fordem Drive,151,Orita Eruwa,149
Farragut Point,349,Lazaro Cardenas,131
Namekagon Point,50,Nakanojōmachi,105
3rd Court,9121,Xiaohe,42
Kennedy Way,5,Domoni,48
Sauthoff Court,0,Tādif,196
Surrey Street,9431,Estela,164
Debs Center,8839,Jaboatão,30
Eastwood Court,6190,Donnacona,37
Cambridge Street,94594,Changting,42
Comanche Way,61312,Masinloc,159
Calypso Avenue,57534,El Espino,47
Fieldstone Street,640,Las Flores,131
Bay Park,73918,Sagbayan,159
Carioca Lane,82563,Glória do Goitá,30
Jenna Terrace,848,Salamanca,64
Granby Avenue,9199,Tyrnyauz,172
Manitowish Terrace,82,Palmerston North,153
Florence Parkway,70,Toulouse,70
Merrick Alley,5,Planaltina,30
High Crossing Parkway,35232,Hilversum,146
Cambridge Plaza,55,Dongtuan,42
Little Fleur Park,5,New Glasgow,37
Park Meadow Parkway,214,Fanzeres,164
Namekagon Place,22,Marmashen,10
Caliangt Road,98746,Kimovsk,172
Gateway Junction,0,Fenggang,42
Utah Road,34853,Zijin,42
Mallard Lane,268,Palumbungan,92
Scoville Hill,3,Springfield,217
Lakewood Road,4683,Cai Doi Vam,221
Mariners Cove Road,0,Kostino,172
Stone Corner Lane,874,Xinhua,42
Cherokee Junction,852,Silao,42
Boyd Way,2621,Talok,92
Lunder Drive,36,Jiujiang,42
Schiller Point,1857,He’an,42
Prentice Plaza,5,Tanbuqiao,42
Moulton Circle,595,Terawas,92
School Road,6,Timrå,194
Lakeland Road,2699,Geneng Tengah,92
Jay Avenue,4,Nkoteng,44
Hintze Trail,81,Debark’,66
Vidon Hill,3788,Sarmanovo,172
Homewood Avenue,5777,Pueblo Nuevo,158
Nova Parkway,4519,Huangjing,42
Manufacturers Park,4334,Anaráchi,82
Harbort Drive,84,Potikosin,92
Talmadge Terrace,4,Qiman,42
Kinsman Point,616,Fukou,42
Bonner Avenue,19539,Fort Lauderdale,217
Vera Parkway,9149,Hoi,92
Sommers Street,5143,Ấp Tân Ngãi,221
Morrow Park,0,Shchukino,172
Garrison Plaza,56111,Bibirevo,172
Fairfield Plaza,5287,Sungi Liput,92
Bashford Pass,723,Narok,107
Cordelia Park,4400,Bogorame,92
Randy Terrace,1,Kuala Lumpur,127
Clyde Gallagher Parkway,21,Dapitan,159
Caliangt Trail,36242,Tongole,181
Vahlen Way,9,Qilin,42
Carberry Trail,1403,Shimen,42
Boyd Court,96,Vista Alegre,164
Carey Circle,4435,Almenara,30
Dapin Pass,49,Cabaritan East,159
Vahlen Way,5,Oussivo,48
Novick Crossing,66740,Zhangbei,42
Heath Street,510,Parikkala,69
Sheridan Park,71,Ongkharak,200
Carpenter Street,5329,Paris 08,70
Arkansas Hill,61170,Vellinge,194
Lindbergh Drive,70837,Santa Rosa,158
Leroy Alley,5,Mmaaf,92
Morningstar Junction,24,Jobabo,53
Autumn Leaf Parkway,429,Changxingbao,42
Moose Crossing,2,Pasararba,92
Canary Crossing,503,Jiangfeng,42
